filename,Garment_Type,Silhouette,Primary_Color,Pattern_Texture,Accessories,Footwear_Type,Style_Aesthetic,Formality_Level,Short_Description
carrie_20s_white_dress.png,Dress,A-line,Light Pink,Lace with tiered ruffles,"Bracelets, small metallic handbag, necklace",Strappy Heels,"Elegant, Feminine",Semi-formal,Light pink lace A-line dress with tiered ruffles paired with strappy heels and metallic accessories.
carrie_animal_dress.png,"Blazer, Dress, Scarf","Fitted blazer, A-line skirt dress","Brown, Green","Plaid scarf, Animal print dress","Plaid scarf, Horse-head shaped handbag, Gold bracelet, Necklace",White high-heeled pumps,"Eclectic, Vintage-inspired",Smart casual,"A smart casual outfit with a fitted brown blazer over a green animal print A-line skirt dress, accessorized with a red and green plaid scarf, a horse-head shaped handbag, gold jewelry, and white high-heeled pumps."
carrie_black_floral_skirt.png,"Coat, Crop Top, Midi Skirt","Fitted Coat, Fitted Crop Top, Flared Midi Skirt",White,Floral pattern on coat and abstract black and white pattern on skirt,Necklace,Open-toe Heels,"Chic, Casual",Smart Casual,"A white coat with pink and blue floral prints paired with a white fitted crop top and a black and white patterned midi skirt, accessorized with a necklace and open-toe heels."
carrie_black_minidress.png,Dress and Coat,A-line,Black,Sequin with floral pattern,"Necklace, Clutch",Heels,Glamorous / Evening,Formal,"Woman wearing a black sequined floral A-line dress paired with a long black coat, accessorized with a necklace and clutch, and wearing heels."
carrie_black_suit.png,"Blazer, Trousers, Striped Shirt",Fitted,"Black (Blazer and Trousers), Multicolor (Shirt)","Pinstripe (Blazer and Trousers), Horizontal Stripes (Shirt)",Beaded Shoulder Bag,Open-toe Heeled Sandals,Business Casual,Semi-formal,"Woman wearing a fitted black pinstripe blazer and matching trousers with a striped shirt, paired with open-toe heeled sandals and a beaded shoulder bag, showcasing a business casual semi-formal look."
carrie_blue_classical_dress.png,Dress,A-line,Light Blue,Solid,Clutch Bag,Heeled Sandals,Elegant,Semi-Formal,Light blue sleeveless A-line dress with a clutch bag and heeled sandals.
carrie_blue_dress.png,Dress,A-line,Light blue,Abstract print,"White clutch, necklace with heart pendant",High heel pumps,"Elegant, classic",Semi-formal,"Light blue abstract printed A-line dress with black thin straps, accessorized with a heart-shaped pendant necklace and white clutch, paired with pink high heel pumps."
carrie_blue_shorts.png,"Tube top, Shorts, Long coat","Fitted top, High-waisted shorts, Long loose coat","Red, White, Blue, Black, Brown","Striped (top), Solid (shorts and coat)","Brown flat cap, Black handbag",Open-toe heels,Casual chic with vintage touch,Casual,"Woman wearing a red and white striped tube top paired with blue shorts, long black coat, brown flat cap, and open-toe heels, accessorized with a black handbag."
carrie_blue_top.png,Camisolette Top,Fitted,Light Blue,Floral Print,Necklaces,,Casual Chic,Casual,"A light blue fitted camisole top with floral print and thin black straps, accessorized with layered necklaces."
carrie_bodycon_dress.png,"One-shoulder bodycon dress, Blazer",Fitted,"Light blue (dress), White (blazer)","Solid color, Ruched texture on dress, Smooth texture on blazer","Black clutch bag, Earrings",Strappy high-heeled sandals,"Elegant, Evening wear",Formal,"Woman wearing a fitted light blue one-shoulder ruched dress paired with a white blazer, accessorized with a black clutch and strappy high-heeled sandals suitable for formal evening events."
carrie_book_launch.png,Floral Mini Dress with a Structured Jacket,"Fitted bodice with flared skirt, Structured blazer with peplum flare","Cream (Jacket), Multi-colored floral (Dress)","Floral print on dress, Stripes on jacket hem, Solid textured jacket","Woven handbag, Delicate necklace, Red clutch",Black wedge sandals with ankle ties,Elegant with a vintage romantic touch,Semi-formal,"A feminine floral mini dress paired with a cream structured blazer featuring striped peplum detail, accessorized with a woven handbag, delicate necklace, and black wedge sandals, perfect for semi-formal occasions."
carrie_book_party.png,Dress,Loose/Fitted A-line,Ivory/Cream with Black accents,Feathers and Lace detailing,Black wrist corsage,Not visible,"Elegant, Evening Glamour",Formal,"A loose A-line ivory dress with black lace and feather embellishments, pairing delicate spaghetti straps with an elegant wrist corsage."
carrie_classic_dress.png,Dress,Fitted bodice with flared skirt,Green and white,Horizontal stripes,"White lace gloves, large beige hat, purple clutch",,Vintage/Retro,Semi-formal,"Green and white striped dress with fitted bodice and flared skirt, accessorized with white lace gloves, a large beige hat, and a purple clutch."
carrie_club_dress.png,Dress,Bodycon,Brown,Textured/Patterned,None visible,Not visible,Chic,Semi-formal,"Woman wearing a brown textured bodycon dress with spaghetti straps, suitable for a semi-formal occasion."
carrie_color_blocking.png,Dress,Fitted bodice with flared skirt,Blue and Red,Solid colors,"Necklace with a heart pendant, handbag",Not visible,"Chic, classic",Semi-formal,"Sleeveless dress with a fitted blue top featuring a draped neckline and a flared red skirt, accessorized with a heart pendant necklace and a patterned handbag."
carrie_cowgirl_outfit.png,strapless crop top and long skirt,fitted top with a flowing skirt,"brown (top), orange with black stripes (skirt)","snake print (top), striped (skirt)","brown hat, arm band, crossbody bag",not visible,"bohemian, festival",casual,"A casual bohemian outfit featuring a snake print strapless crop top, an orange and black striped flowing skirt, accessorized with a brown hat, arm band, and crossbody bag."
carrie_cream_dress.png,Long-sleeve top and asymmetric skirt,Fitted top with flowy skirt,Beige and white,Textured top with floral or lace pattern,White tote bag,High heel sandals,Chic and modern,Semi-formal,"A beige textured long-sleeve top paired with an asymmetric white skirt, accessorized with a white tote bag and black high heel sandals."
carrie_crop_top.png,Crop Top and Midi Skirt,Fitted,Black and White/Red,"Solid (Top), Striped (Skirt)","Necklace, Checkered Belt Bag",High Heels,Casual Chic,Casual,"Black fitted long sleeve crop top paired with a white midi skirt with diagonal red stripes, accessorized with a checkered belt bag and high heels."
carrie_denim_skirt.png,Top and Skirt,"Fitted top with a high-waisted, A-line midi skirt",Beige (top) and Blue (skirt),"Solid color, denim texture on skirt","Earrings, handbag",White heels,"Chic, casual elegance",Smart casual,"A beige fitted top paired with a high-waisted, A-line blue denim midi skirt, accessorized with earrings and a handbag, complemented by white heels for a chic smart casual look."
carrie_floral_dress.png,Dress,Column,Black,Bold Floral Print,Necklace,Not visible,"Elegant, Contemporary",Formal,"A long, fitted black column dress with a bold, colorful floral print and thin shoulder straps."
carrie_floral_ruffle_dress.png,Sheer overlay dress with floral appliqué and internal slip dress,A-line,Nude/Beige,Sheer with floral appliqué,"Earrings, rings, clutch",Open-toe high heel sandals,"Romantic, ethereal",Semi-formal,"Long sheer beige dress with floral details over a slip dress, paired with nude open-toe heels."
carrie_fringe_dress.png,Dress,Straight,White,Textured with horizontal fringe layers,"Bracelets, Necklace, Small Handbag",Strappy Heels,"Elegant, Feminine",Semi-formal,"White sleeveless straight dress with layered fringe texture, accessorized with bracelets, necklace, and a small handbag, paired with strappy heels."
carrie_fur_coat.png,"Fur coat, patterned midi dress, blue vest","Layered, A-line skirt","Beige (dress), Natural fur color (coat), Blue (vest)","Paisley print on dress, fur texture on coat","Pink handbag, beige shopping bag, necklace",Red open-toe heels,"Eclectic, vintage-inspired, glamorous",Semi-formal,"A layered vintage-inspired outfit featuring a beige paisley midi dress paired with a blue vest and a long fur coat, accessorized with a pink handbag and red heels."
carrie_gray_dress.png,Bodycon dress,"Fitted, mini-length",Black,"Solid, smooth","Sunglasses, handbag",High-heeled sandals,"Chic, casual",Casual to semi-formal,"A black fitted mini bodycon dress paired with high-heeled sandals, brown handbag, and sunglasses."
carrie_gray_going_out_dress.png,Sling top with attached shorts and flowy back panel,"Fitted shorts with a loose, flowing overlay",Beige,Sheer fabric with sequin embellishments,"Clutch bag, possibly black and metallic bracelet",Not visible,"Glamorous, sexy, night-out",Semi-formal / Evening wear,"Beige, fitted sling top with shorts and a flowy back overlay, complemented with sequin details and a lace inset at the neckline."
carrie_green_dress.png,Mini Dress,Bodycon,Green,Sequin with scalloped edges,"Necklace, Pink Clutch",Not visible,"Glamorous, Party",Semi-formal,"A green sequin bodycon mini dress with scalloped edges, accessorized with a necklace and a pink clutch."
carrie_green_rose_dress.png,Strapless Dress with Sleeveless Coat,A-line,Green,Floral,"Black studded belt, gold bracelet, Eiffel Tower handbag",Black strappy heels,"Chic, Feminine",Semi-formal,"A green floral strapless A-line dress paired with a sleeveless floral coat, accessorized with a studded black belt, gold bracelet, and unique Eiffel Tower handbag, complemented by black strappy heels."
carrie_green_ruffle_skirt.png,"Blazer, Tulle Skirt, Camisole","Fitted blazer, A-line skirt","Cream (blazer), Light Green (skirt)","Jacquard texture on blazer, sheer tulle on skirt",Fur clutch,Strappy High Heel Sandals,"Chic, Romantic",Semi-formal,"A cream jacquard blazer paired with a light green tulle A-line midi skirt, accessorized with a fur clutch and strappy high heel sandals, creating a chic and romantic semi-formal look."
carrie_island_bandana.png,Sleeveless blouse and Bermuda shorts,"Loose fit top, slim fitted shorts","White (top), Gray (shorts)","Solid with subtle texture on blouse, solid on shorts","Blue and purple striped headscarf, pink handbag, silver chain necklace",Black high-heeled pumps,Casual chic,Casual,"Woman wearing a loose white sleeveless blouse paired with fitted gray Bermuda shorts, accessorized with a colorful headscarf, handbag, silver necklace, and black high-heeled pumps."
carrie_maroon_top.png,Top and Jeans,Fitted,"Brown (Top), Blue (Jeans)",Solid,Green handbag with sun design,Not visible,Casual,Informal,"A fitted brown halter top paired with blue jeans, accessorized with a green handbag featuring a sun design."
carrie_multicolor_dress.png,Sleeveless Dress,A-line,Multicolor,Abstract/Geometric Print,Black waist belt,Yellow open-toe heels,Casual Chic,Semi-formal,"Sleeveless A-line dress with a multicolor abstract pattern and a black waist belt, paired with yellow open-toe heels."
carrie_naked_dress.png,Mini Dress,Straight,Light Pink,Solid,Earrings,,Minimalist,Semi-Formal,"A light pink, sleeveless mini dress with a straight silhouette and minimalist design."
carrie_navy_dress.png,Dress,A-line,Navy Blue,Solid,"Necklace, Bracelets",Not visible,Elegant,Formal,"Navy blue sleeveless A-line dress with a gathered detail at the neckline, accessorized with a necklace and bracelets."
carrie_newspaper_dress.png,Dress,Fitted bodice with asymmetric hem,White with black print,All-over newspaper print,"Small beaded handbag, necklace",High-heeled open-toe shoes with lace detailing,"Chic, statement",Semi-formal,"White newspaper print asymmetric hem dress paired with sheer lace high-heeled open-toe shoes, accessorized with a small beaded handbag and necklace."
carrie_nude_flower_dress.png,Strapless Dress,A-line,Light Pink,Floral Lace,Necklace,Heeled Sandals,"Elegant, Romantic",Semi-Formal,"A light pink strapless A-line dress with floral lace texture, accessorized with a necklace and black heeled sandals."
carrie_pattern_dress.png,Dress,"Fitted, Asymmetrical Hem",White,Floral and Artistic Print,Gold Bracelet,Strappy Heels,"Casual Chic, Feminine",Semi-Formal,"A white sleeveless fitted dress with a ruffled neckline and asymmetrical hem adorned with colorful floral and artistic prints, paired with strappy heels and a gold bracelet."
carrie_pink_dress.png,Dress,Fit and Flare,Pink,Solid,Black waist belt,High-heeled sandals,Elegant,Semi-formal,"A sleeveless pink fit-and-flare dress with a black waist belt, paired with high-heeled silver sandals."
carrie_pink_dress_studded_belt.png,Dress,Fitted,Pink,Solid color,"Pearl necklace, Studded belt, Metallic handbag",Not visible,"Chic, Elegant",Semi-formal,"A fitted pink sleeveless dress accessorized with a pearl necklace, studded belt, and a metallic handbag."
carrie_pink_flowy_dress.png,Evening gown,Fitted bodice with flowing skirt,Blush pink,"Sheer, layered fabric with subtle shimmer",Clutch bag,Strappy heels,"Elegant, glamorous",Formal,"A blush pink sheer evening gown with a fitted strapless bodice and flowing layered skirt, paired with a clutch bag and strappy heels."
carrie_pink_pants.png,Sleeveless top and high-waisted trousers,Fitted top with straight trousers,White (top) and light pink (trousers),Solid color with a fabric floral accessory and patterned handbag,"Large purple flower on shoulder, patterned handbag",Not visible,Chic and sophisticated,Semi-formal,"A chic outfit featuring a fitted sleeveless white top paired with light pink high-waisted trousers, accessorized with a large purple floral pin and a patterned handbag."
carrie_pink_satin_jacket.png,"Bomber Jacket, Sheer Dress, Cargo Pants","Fitted Bomber Jacket, Straight Cargo Pants, Loose Sheer Dress",Peach,"Sheer with sequins, Satin texture on jacket, Solid Cargo Pants",Pearl Necklace,Open-toe heels,Eclectic,Smart Casual,"Peach satin bomber jacket layered over a sheer sequined dress paired with cropped cargo pants and open-toe heels, accessorized with a pearl necklace."
carrie_pink_wrap_dress.png,Dress,Fitted,Pink,Solid,Necklace,,Chic,Semi-formal,"Fitted pink dress with a V-neckline and gathered fabric detail, accessorized with a delicate necklace."
carrie_pinstripe_suit.png,Pinstripe Blazer and Cropped Pants,Tailored,Navy Blue,Pinstripe,"Brown flat cap, patterned tote bag, thin necklace",White pointed-toe stiletto heels,"Chic, Business Casual",Smart Casual,"A woman wearing a navy blue pinstripe tailored blazer with matching cropped pants, paired with a brown flat cap and white stiletto heels, carrying a patterned tote bag and a magazine."
carrie_plaid_top.png,Button-up shirt and jeans,Fitted,Blue,Plaid,"Neon green wristband, black tote bag",High heels,Casual chic,Casual,"Wearing a short-sleeved blue plaid button-up shirt paired with light blue fitted jeans, accessorized with a neon green wristband and a black tote bag, completed with sparkly high heels."
carrie_print_dress.png,Maxi Dress with Shirt,Loose and Flowing,White with Blue Accents,Floral and Geometric Print,"Pearl Necklace, Bracelet, Crossbody Bag",Platform Sandals,Bohemian Chic,Casual to Semi-Formal,"A white and blue printed maxi dress worn over a light blue button-up shirt, accessorized with a pearl necklace, bracelet, and crossbody bag, paired with dark platform sandals."
carrie_purple_dress.png,Dress,Asymmetrical,Purple,Sheer with solid trim,"Bracelets, Clutch bag",Open-toe heels,"Elegant, Evening wear",Formal,"A purple asymmetrical sheer evening dress with solid trim, accessorized with gold bracelets and a clutch bag, paired with open-toe heels."
carrie_purple_skirt.png,Tube top and pencil skirt,Fitted,Blue (top) and dark navy (skirt),Solid colors,"Necklace with pendant, shoulder bag",Open-toe heels,Casual chic,Smart casual,"A fitted blue tube top paired with a dark navy pencil skirt, accessorized with a pendant necklace and a shoulder bag, completed with open-toe heels."
carrie_rainbow_skirt.png,"Blazer, Skirt, Top","Fitted blazer, A-line skirt","Red (blazer), Multicolor (skirt), Pink (top)","Striped (skirt), Solid (blazer and top)","Necklace, Bracelet, Handbag",Pumps,Casual chic,Semi-formal,"Woman wearing a fitted red blazer over a pink top paired with a colorful striped A-line skirt, accessorized with a necklace, bracelet, and handbag, completed with white pumps."
carrie_red_dress.png,Dress,A-line,Pink,Floral,"White belt, clutch bag",Heels,"Feminine, romantic",Semi-formal,"Pink floral A-line dress with white belt and asymmetrical hemline, paired with nude heels and a feathered clutch."
carrie_red_flower_dress.png,Dress,A-line,Light pink,Floral,"White belt, small earrings, clutch with feathers",Open-toe heels,"Romantic, feminine",Semi-formal,"Light pink floral A-line dress with a ruffled sweetheart neckline, accessorized with a white studded belt, small earrings, a feathered clutch, and open-toe heels."
carrie_red_necklace.png,Tube top and wide-leg pants,"Fitted top with loose, wide-leg pants","Purple (top), Beige (pants)","Solid colors, smooth texture","Long necklace with red pendant, yellow clutch",Not visible,"Casual, 90s inspired",Casual,"Outfit consists of a fitted purple tube top paired with beige wide-leg pants, accessorized with a long necklace with a red pendant and a yellow clutch."
carrie_red_pants.png,"Long coat, blouse, trousers",Straight,"Light blue (coat), white (blouse), red (trousers)",Solid colors,"Neck scarf, shoulder bag",Heeled shoes,"Chic, casual elegance",Smart casual,"Woman wearing a light blue long coat over a white blouse, paired with red trousers and heeled shoes, accessorized with a neck scarf and shoulder bag."
carrie_red_pattern_dress.png,Dress,Fit and Flare,Red,Polka Dots,Handbag,,Retro/Vintage,Casual,"Red fit and flare dress with white polka dots, featuring short sleeves and a deep V-neckline, paired with a white and blue handbag."
carrie_red_white_blue_dress.png,Strapless Dress,A-line,Red and White,Horizontal Stripes,"White Cap, Brooch, Beige Handbag",White Pumps,"Vintage, Nautical",Semi-formal,"Woman wearing a strapless A-line dress with red and white horizontal stripes and navy blue accents, accessorized with a white cap, brooch, beige handbag, and white pumps."
carrie_ruffle_dress.png,Dress,Fitted with ruffles,Light pink,Floral,"Necklace, Pink handbag",Open-toe heels,"Romantic, Feminine",Semi-formal,"Light pink fitted dress with floral pattern and ruffle details, accessorized with a necklace and pink handbag, paired with open-toe heels."
carrie_ruffle_pink_dress.png,Strapless Ruffled Dress,Fitted bodice with flared skirt,Pink,Ruched bodice with layered ruffles,"Colorful headscarf, gold chunky necklace, multicolored striped tote bag, blue handbag",White high heels,"Eclectic, playful with a vintage vibe",Casual to semi-formal,"A pink ruched strapless dress with layered ruffles styled with a colorful headscarf, chunky gold necklace, and bright striped tote bag, paired with white high heels."
carrie_satin_blue_dress.png,Slip Dress,Straight,Light Blue,Solid Satin,Pendant Necklace,Not Visible,Casual Elegant,Casual,"Light blue satin slip dress with thin straps and a straight silhouette, accessorized with a pendant necklace."
carrie_satin_dress.png,"Trench Coat, Satin Corset Top, Pleated Midi Skirt","A-line Skirt, Fitted Top, Loose Outerwear","Beige, Light Blue, Dark Gray","Solid Colors, Satin Texture",None visible,Clear High Heels,"Chic, Evening Wear",Formal,"A chic formal outfit featuring a beige trench coat, a light blue satin fitted corset top, a dark gray pleated midi skirt with a distressed hem, and clear high heels."
carrie_striped_dress.png,Strapless Dress,A-line,"Multicolor (pink, beige, brown, black)",Color block,"Black waist belt, large beige handbag, headscarf, sunglasses",White platform high heels,Casual chic,Smart casual,"A strapless A-line color-block dress with a black waist belt, paired with white platform heels, a beige handbag, a headscarf, and sunglasses for a casual chic look."
carrie_tulle_red_skirt.png,"Sequin top, Tulle skirt, Plaid coat",A-line,Burgundy/Deep Red,"Sequin (top), Tulle overlay (skirt), Plaid (coat)","Pink beret, Earrings, Brown snakeskin handbag",Pink strappy high heels,"Eclectic, Feminine, Bold",Formal,"A burgundy layered tulle skirt paired with a bright pink sequin top, worn under a long plaid coat. The outfit is accessorized with a pink beret, statement earrings, a brown snakeskin handbag, and pink strappy heels."
carrie_warm_red_dress.png,Slip Dress,Straight,Orange,Tie-Dye,"Belt, Gold Necklace, Woven Handbag",Open-toe Sandals,"Bohemian, Casual Chic",Casual,"Orange tie-dye slip dress with a breezy straight silhouette, accessorized with a studded belt, gold necklace, and woven handbag, paired with open-toe sandals."
carrie_wedding_dress.png,Wedding Dress,Ball Gown,Ivory,"Satin, smooth, shiny","Veil with feathers, earrings, bouquet",Not visible,"Classic, romantic",Formal,"A strapless ivory satin ball gown wedding dress with a large veil detailed with feathers, paired with a floral bouquet."
carrie_wedding_dress2.png,Ball Gown,Full Skirt,Ivory,"Solid, Smooth Satin","Feathered Fascinator with Veil, Teal Gloves",Pointed-Toe Heels,"Elegant, Vintage Glamour",Formal,"Ivory satin ball gown with a full skirt and fitted bodice, accessorized with a teal feathered fascinator and matching gloves, paired with teal pointed-toe heels."
carrie_white_crop_top.png,Tube top and high-waisted pants,Fitted top with loose pants,White,"Solid color, smooth texture",Long pearl necklace,Not visible,Casual chic,Casual,A woman wearing a fitted white tube top paired with high-waisted white pants and accessorized with a long pearl necklace.
carrie_white_dress.png,Slip Dress,Fitted,White,"Solid, Smooth","Small handbag, Necklace",Flat Sandals,"Minimalist, Casual Chic",Casual to Semi-Formal,"A fitted white slip dress with a deep neckline, paired with flat embellished sandals and a small handbag, reflecting a minimalist and casual chic style."
carrie_white_suit.png,"Vest, Button-down Shirt, Trousers",Tailored,Ivory and Pink,"Striped (Shirt), Solid (Vest and Trousers)","Black necktie, Small clutch, Hat box",Open Toe High Heels,"Chic, Business Casual",Smart Casual,"A chic, tailored ivory vest and trousers paired with a pink striped button-down shirt, accessorized with a black necktie, clutch, and open toe high heels."
charlotte_all_white.png,T-shirt and skirt,Fitted top with pleated skirt,White,"Solid, smooth",Black wristwatch,Not visible,Casual,Informal,"A woman is wearing a fitted white V-neck T-shirt paired with a white pleated skirt, accessorized with a black wristwatch."
